START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/19,01:05 PM,01:05 PM,Nationals at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",02/25/19,02/25/19,04:05 PM,04:05 PM,FALSE,TRUE,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
02/26/19,01:05 PM,01:05 PM,Mets at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",02/26/19,02/26/19,04:05 PM,04:05 PM,FALSE,TRUE,02/26/19,12:05 PM,12:05 PM,FREE,BUSY
02/28/19,01:05 PM,01:05 PM,Tigers at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",02/28/19,02/28/19,04:05 PM,04:05 PM,FALSE,TRUE,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
03/01/19,01:05 PM,01:05 PM,Blue Jays at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/01/19,03/01/19,04:05 PM,04:05 PM,FALSE,TRUE,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
03/03/19,01:05 PM,01:05 PM,Marlins at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WCNN 680/93.7- Braves Radio Network",03/03/19,03/03/19,04:05 PM,04:05 PM,FALSE,TRUE,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
03/04/19,01:05 PM,01:05 PM,Astros at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/04/19,03/04/19,04:05 PM,04:05 PM,FALSE,TRUE,03/04/19,12:05 PM,12:05 PM,FREE,BUSY
03/06/19,01:05 PM,01:05 PM,Tigers at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/06/19,03/06/19,04:05 PM,04:05 PM,FALSE,TRUE,03/06/19,12:05 PM,12:05 PM,FREE,BUSY
03/08/19,06:05 PM,06:05 PM,Phillies at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/08/19,03/08/19,09:05 PM,09:05 PM,FALSE,TRUE,03/08/19,05:05 PM,05:05 PM,FREE,BUSY
03/11/19,01:05 PM,01:05 PM,Pirates at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/11/19,03/11/19,04:05 PM,04:05 PM,FALSE,TRUE,03/11/19,12:05 PM,12:05 PM,FREE,BUSY
03/12/19,01:05 PM,01:05 PM,Cardinals at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/12/19,03/12/19,04:05 PM,04:05 PM,FALSE,TRUE,03/12/19,12:05 PM,12:05 PM,FREE,BUSY
03/15/19,01:05 PM,01:05 PM,Marlins at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/15/19,03/15/19,04:05 PM,04:05 PM,FALSE,TRUE,03/15/19,12:05 PM,12:05 PM,FREE,BUSY
03/17/19,01:05 PM,01:05 PM,Astros at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WCNN 680/93.7- Braves Radio Network",03/17/19,03/17/19,04:05 PM,04:05 PM,FALSE,TRUE,03/17/19,12:05 PM,12:05 PM,FREE,BUSY
03/18/19,06:05 PM,06:05 PM,Yankees at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/18/19,03/18/19,09:05 PM,09:05 PM,FALSE,TRUE,03/18/19,05:05 PM,05:05 PM,FREE,BUSY
03/19/19,01:05 PM,01:05 PM,Nationals at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WIFN 1340 AM/103.7FM",03/19/19,03/19/19,04:05 PM,04:05 PM,FALSE,TRUE,03/19/19,12:05 PM,12:05 PM,FREE,BUSY
03/22/19,06:05 PM,06:05 PM,Tigers at Braves,Champion Stadium - Lake Buena Vista,"Local TV: FSSO ----- Local Radio: WIFN 1340 AM/103.7FM",03/22/19,03/22/19,09:05 PM,09:05 PM,FALSE,TRUE,03/22/19,05:05 PM,05:05 PM,FREE,BUSY
03/23/19,01:05 PM,01:05 PM,Mets at Braves,Champion Stadium - Lake Buena Vista,"Local TV: FSSE ----- Local Radio: WCNN 680/93.7- Braves Radio Network",03/23/19,03/23/19,04:05 PM,04:05 PM,FALSE,TRUE,03/23/19,12:05 PM,12:05 PM,FREE,BUSY
03/24/19,04:05 PM,04:05 PM,Rays at Braves,CoolToday Park - North Port,"Local Radio: WCNN 680/93.7- Braves Radio Network",03/24/19,03/24/19,07:05 PM,07:05 PM,FALSE,TRUE,03/24/19,03:05 PM,03:05 PM,FREE,BUSY
03/25/19,07:20 PM,07:20 PM,Reds at Braves,SunTrust Park - Atlanta,"Local TV: FSSO ----- Local Radio: WCNN 680/93.7- Braves Radio Network",03/25/19,03/25/19,10:20 PM,10:20 PM,FALSE,TRUE,03/25/19,06:20 PM,06:20 PM,FREE,BUSY
03/26/19,01:10 PM,01:10 PM,Reds at Braves,SunTrust Park - Atlanta,"Local TV: FSSO- MLBN (out-of-market only) ----- Local Radio: WCNN 680/93.7- Braves Radio Network",03/26/19,03/26/19,04:10 PM,04:10 PM,FALSE,TRUE,03/26/19,12:10 PM,12:10 PM,FREE,BUSY
